localized fringe (mm),d=0,,N (fringes passed),M (micrometer Reading),delta d (nm)
10.41,10.11,,0,15.29,0
,,,50,14.22,14732.5
,,,100,14.14,29465
,,,150,14.7,44197.5
,,,200,14,58930
,,,250,13.92,73662.5
,,,300,13.85,88395
,,,350,13.77,103127.5
,,,400,13.7,117860
,,,450,13.62,132592.5
,,,500,13.55,147325
,,,550,13.47,162057.5
,,,600,13.4,176790
,,,650,13.37,191522.5
,,,700,13.24,206255
,,,750,13.17,220987.5
,,,800,13.9,235720
,,,850,13.2,250452.5
,,,900,12.94,265185
,,,950,12.84,279917.5
,,,1000,12.76,294650